Title,Artist,Tempo
Mad,Ne-Yo,129.19921875
Happier,Marshmello/Bastille,99.38401442307692
Don't,Ed Sheeran,95.703125
Single Ladies (Put a Ring on It),Beyoncé,95.703125
"No, No, No, Pt. 1",Destiny's Child,60.09265988372093
Cheerleader,OMI,99.38401442307692
Elastic Heart,Sia,129.19921875
Teenage Dream,Katy Perry,117.45383522727273
Come With Me,Puff Daddy Featuring Jimmy Page,161.4990234375
Adia,Sarah McLachlan,151.99908088235293
Stuck with U,Ariana Grande/Justin Bieber,89.10290948275862
Nonstop,Drake,103.359375
Adore You,Harry Styles,99.38401442307692
Take A Back Road,Rodney Atkins,112.34714673913044
Beautiful (feat. Camila Cabello),Bazzi/Camila Cabello,99.38401442307692
You Know You Like It,DJ Snake/AlunaGeorge,129.19921875
Everybody (Backstreet's Back) (Radio Edit),Backstreet Boys,107.666015625
Pretty Wings,Maxwell,117.45383522727273
Run This Town (feat. Rihanna & Kanye West),Jay-Z/Rihanna/Kanye West,86.1328125
MIDDLE CHILD,J. Cole,123.046875
My Type,Saweetie,103.359375
I'll Be,Edwin McCain,135.99917763157896
Nobody's Supposed to Be Here,Deborah Cox,60.09265988372093
Sexy And I Know It,LMFAO,129.19921875
This Is Your Night (Original Edit),Amber,129.19921875
Ric Flair Drip,Offset/Metro Boomin,99.38401442307692
LUST.,Kendrick Lamar,95.703125
Clout (feat. Cardi B),Offset/Cardi B,143.5546875
Set U Free,Planet Soul,129.19921875
Truly Madly Deeply,Savage Garden,83.35433467741936
Raise The Roof,"Luke, No Good But So Good, Jiggie",143.5546875
ME! (feat. Brendon Urie of Panic! At The Disco),Taylor Swift/Brendon Urie,184.5703125
What's Up? (Edit),4 Non Blondes,135.99917763157896
Bandit,Juice Wrld/YoungBoy Never Broke Again,89.10290948275862
I Know You Want Me (Calle Ocho),Pitbull,129.19921875
breathin,Ariana Grande,99.38401442307692
Father,LL Cool J,99.38401442307692
Sunflower,Post Malone/Swae Lee,89.10290948275862
Thinkin' Bout It,Gerald Levert,117.45383522727273
Godzilla (feat. Juice Wrld),Eminem/Juice Wrld,161.4990234375
Like I'm Gonna Lose You (feat. John Legend),Meghan Trainor/John Legend,71.77734375
Frozen,Madonna,107.666015625
Barefoot Blue Jean Night,Jake Owen,86.1328125
The World I Know,Collective Soul,151.99908088235293
All The Things (Your Man Won't Do),Joe,66.25600961538461
Sorry Not Sorry,Demi Lovato,143.5546875
All Eyes on You (feat. Chris Brown & Nicki Minaj),Meek Mill/Chris Brown/Nicki Minaj,151.99908088235293
How Do I Live,LeAnn Rimes,129.19921875
El Perdón,Nicky Jam/Enrique Iglesias,89.10290948275862
Are You Gonna Kiss Me Or Not,Thompson Square,151.99908088235293
Dear Future Husband,Meghan Trainor,80.74951171875
Never Say Never,The Fray,80.74951171875
"Fastlove, Pt. 1",George Michael,103.359375
Wolves,Selena Gomez/Marshmello,123.046875
Here,Alessia Cara,61.5234375
1-800-273-8255 (feat. Alessia Cara & Khalid),Logic/Alessia Cara/Khalid,99.38401442307692
